STATISTIC,Statistic Label,Week,Year,C03132V03784,Luas Line,UNIT,VALUE
TII03C01,Passenger Journeys,22,2021,1,Red line,Number,210560
TII03C01,Passenger Journeys,22,2021,2,Green line,Number,170908
TII03C01,Passenger Journeys,23,2021,-,All Luas lines,Number,376282
TII03C01,Passenger Journeys,23,2021,1,Red line,Number,196288
TII03C01,Passenger Journeys,23,2021,2,Green line,Number,179995
TII03C01,Passenger Journeys,24,2021,-,All Luas lines,Number,414980
TII03C01,Passenger Journeys,24,2021,1,Red line,Number,219396
TII03C01,Passenger Journeys,24,2021,2,Green line,Number,195584
TII03C01,Passenger Journeys,25,2021,-,All Luas lines,Number,413187
TII03C01,Passenger Journeys,25,2021,1,Red line,Number,218088
TII03C01,Passenger Journeys,25,2021,2,Green line,Number,195099
TII03C01,Passenger Journeys,26,2021,-,All Luas lines,Number,408603
TII03C01,Passenger Journeys,26,2021,1,Red line,Number,218863
TII03C01,Passenger Journeys,26,2021,2,Green line,Number,189741
TII03C01,Passenger Journeys,27,2021,-,All Luas lines,Number,403259
TII03C01,Passenger Journeys,27,2021,1,Red line,Number,216285
TII03C01,Passenger Journeys,27,2021,2,Green line,Number,186974
TII03C01,Passenger Journeys,28,2021,-,All Luas lines,Number,417819
TII03C01,Passenger Journeys,28,2021,1,Red line,Number,225848
TII03C01,Passenger Journeys,28,2021,2,Green line,Number,191971
TII03C01,Passenger Journeys,29,2021,-,All Luas lines,Number,416359
TII03C01,Passenger Journeys,29,2021,1,Red line,Number,228641
TII03C01,Passenger Journeys,29,2021,2,Green line,Number,187718
TII03C01,Passenger Journeys,30,2021,-,All Luas lines,Number,391588
TII03C01,Passenger Journeys,30,2021,1,Red line,Number,201734
TII03C01,Passenger Journeys,30,2021,2,Green line,Number,189854
TII03C01,Passenger Journeys,31,2021,-,All Luas lines,Number,386208
TII03C01,Passenger Journeys,31,2021,1,Red line,Number,203388
TII03C01,Passenger Journeys,31,2021,2,Green line,Number,182820
TII03C01,Passenger Journeys,32,2021,-,All Luas lines,Number,430283
TII03C01,Passenger Journeys,32,2021,1,Red line,Number,231872
TII03C01,Passenger Journeys,32,2021,2,Green line,Number,198411
TII03C01,Passenger Journeys,33,2021,-,All Luas lines,Number,441304
TII03C01,Passenger Journeys,33,2021,1,Red line,Number,235705
TII03C01,Passenger Journeys,33,2021,2,Green line,Number,205599
